Latitude(deg),Longitude(deg),CPR,DOP,SLI_Row,SLI_Col
-87.421707,80.634497,1.028817,0.095897,32601,469
-87.618659,84.462596,1.157457,0.081529,32602,107
-87.421697,80.634878,1.071783,0.125185,32602,469
-87.418238,80.574320,1.091181,0.118446,32602,474
-87.618272,84.454853,1.054732,0.070050,32603,108
-87.618261,84.455254,1.067305,0.072300,32604,108
-87.421675,80.635614,1.016317,0.118943,32604,469
-87.618250,84.455655,1.042814,0.091747,32605,108
-87.421663,80.635970,1.063350,0.126118,32605,469
-87.618239,84.456056,1.009243,0.106896,32606,108
-87.618216,84.456858,1.005166,0.122507,32608,108
-87.421605,80.637753,1.078501,0.127428,32610,469
-87.418096,80.610509,1.141041,0.122058,32671,473
-87.417300,80.601605,1.095086,0.127709,32680,474
-87.417287,80.601939,1.060078,0.119654,32681,474
-87.417985,80.665138,1.260323,0.117887,32772,471
-87.418623,80.676875,1.065398,0.129340,32773,470
-87.417971,80.665447,1.181216,0.086115,32773,471
-87.417957,80.665756,1.178359,0.093545,32774,471
-87.417942,80.666065,1.193338,0.126131,32775,471
-87.414391,80.820638,1.077046,0.107080,33162,468
-87.414379,80.820984,1.051546,0.090921,33163,468
-87.414367,80.821330,1.011256,0.099251,33164,468
-87.414355,80.821677,1.025434,0.101910,33165,468
-87.414342,80.822023,1.033093,0.107249,33166,468
-87.597897,84.663073,1.056143,0.109433,33617,129
-87.597811,84.665678,1.115445,0.128537,33624,129
-87.597774,84.666799,1.171225,0.126644,33627,129
-87.597763,84.667190,1.162470,0.129033,33628,129
-87.597751,84.667581,1.168607,0.129437,33629,129
-87.597694,84.669535,1.178016,0.127073,33634,129
-87.597682,84.669926,1.176268,0.127046,33635,129
-87.597671,84.670317,1.181265,0.123689,33636,129
-87.600142,84.778531,1.083685,0.129084,33722,120
-87.600129,84.778878,1.057153,0.116598,33723,120
-87.610422,85.106794,1.003656,0.116779,33882,87
-87.624333,85.499795,1.255197,0.123330,34009,42
-87.624182,85.502932,1.154448,0.126994,34019,42
-87.624135,85.503853,1.133342,0.106651,34022,42
-87.624120,85.504160,1.126440,0.078287,34023,42
-87.624104,85.504467,1.157715,0.085927,34024,42
-87.624089,85.504774,1.189836,0.103667,34025,42
-87.624074,85.505082,1.203520,0.111529,34026,42
-87.624058,85.505389,1.201953,0.115157,34027,42
-87.624043,85.505696,1.163941,0.107157,34028,42
-87.624027,85.506003,1.109060,0.106019,34029,42
-87.623950,85.507539,1.036000,0.128011,34034,42
-87.595878,85.204253,1.056378,0.109622,34530,106
-87.595518,85.196341,1.012481,0.122977,34530,107
-87.595869,85.204697,1.102290,0.113101,34531,106
-87.595509,85.196783,1.042188,0.109516,34531,107
-87.595500,85.197225,1.071448,0.101189,34532,107
-87.595491,85.197666,1.095752,0.089579,34533,107
-87.595482,85.198108,1.195757,0.119384,34534,107
-87.597791,85.363676,1.045493,0.129773,34712,95
-87.601084,85.467911,1.077733,0.108029,34760,84
-87.601071,85.468285,1.077226,0.110738,34761,84
-87.601059,85.468659,1.080127,0.121277,34762,84
-87.610797,85.902765,1.063102,0.118037,35092,45
-87.610412,85.896001,1.110139,0.126398,35095,46
-87.610207,85.903136,1.220254,0.124937,35113,46
-87.610196,85.903526,1.213257,0.119702,35114,46
-87.596613,85.630535,1.003797,0.115764,35165,84
-87.601176,85.781718,1.086951,0.113258,35240,68
-87.601166,85.782130,1.105578,0.109377,35241,68
-87.601155,85.782542,1.115731,0.110690,35242,68
-87.601145,85.782955,1.160278,0.126769,35243,68
-87.601123,85.783779,1.150442,0.126956,35245,68
-87.598947,85.782355,1.086771,0.118549,35318,72
-87.598935,85.782735,1.056054,0.093243,35319,72
-87.598597,85.775140,1.171228,0.121766,35319,73
-87.598923,85.783114,1.030512,0.102494,35320,72
-87.598585,85.775516,1.174426,0.119557,35320,73
-87.598911,85.783494,1.012187,0.121917,35321,72
-87.598573,85.775893,1.181327,0.107300,35321,73
-87.598560,85.776269,1.151947,0.085913,35322,73
-87.598549,85.776665,1.116515,0.067085,35323,73
-87.598539,85.777081,1.097350,0.075463,35324,73
-87.598528,85.777497,1.095634,0.094398,35325,73
-87.598518,85.777913,1.089505,0.093076,35326,73
-87.598507,85.778329,1.071603,0.096903,35327,73
-87.598497,85.778745,1.062768,0.094330,35328,73
-87.598158,85.771133,1.184347,0.127024,35328,74
-87.598825,85.786773,1.017488,0.123736,35329,72
-87.598487,85.779161,1.106872,0.102232,35329,73
-87.598148,85.771548,1.173414,0.112512,35329,74
-87.598815,85.787190,1.109623,0.128544,35330,72
-87.598476,85.779576,1.169256,0.114536,35330,73
-87.598466,85.779992,1.173813,0.111024,35331,73
-87.598455,85.780408,1.150083,0.098154,35332,73
-87.598784,85.788441,1.079900,0.094692,35333,72
-87.598445,85.780824,1.146520,0.083065,35333,73
-87.598773,85.788857,1.137954,0.106619,35334,72
-87.598434,85.781240,1.189807,0.089691,35334,73
-87.598424,85.781656,1.248988,0.116885,35335,73
-87.598414,85.782072,1.253791,0.120017,35336,73
-87.598403,85.782488,1.243009,0.114132,35337,73
-87.598393,85.782904,1.242023,0.112641,35338,73
-87.598382,85.783320,1.234496,0.109960,35339,73
-87.598372,85.783736,1.216680,0.098852,35340,73
-87.598362,85.784151,1.194520,0.100717,35341,73
-87.598351,85.784567,1.190829,0.105495,35342,73
-87.598341,85.784983,1.151776,0.075673,35343,73
-87.598001,85.777357,1.119471,0.126918,35343,74
-87.598330,85.785399,1.107078,0.051342,35344,73
-87.597991,85.777772,1.100080,0.102099,35344,74
-87.598320,85.785815,1.124059,0.061402,35345,73
-87.597981,85.778187,1.136972,0.103354,35345,74
-87.598309,85.786231,1.159342,0.077977,35346,73
-87.597970,85.778602,1.182883,0.114927,35346,74
-87.598299,85.786647,1.177222,0.083428,35347,73
-87.598289,85.787063,1.114193,0.054051,35348,73
-87.597949,85.779432,1.144540,0.129490,35348,74
-87.598618,85.795111,1.086010,0.117162,35349,72
-87.598278,85.787479,1.027785,0.020528,35349,73
-87.597939,85.779847,1.066096,0.097406,35349,74
-87.598268,85.787895,1.059121,0.053998,35350,73
-87.597928,85.780262,1.101012,0.098474,35350,74
-87.598257,85.788311,1.117070,0.087718,35351,73
-87.598247,85.788726,1.104094,0.104734,35352,73
-87.598237,85.789142,1.089732,0.113371,35353,73
-87.598226,85.789558,1.069103,0.101609,35354,73
-87.598216,85.789977,1.079370,0.090578,35355,73
-87.598206,85.790398,1.115320,0.089896,35356,73
-87.598195,85.790820,1.066490,0.070045,35357,73
-87.598525,85.798882,1.170838,0.129455,35358,72
-87.598185,85.791241,1.002879,0.043004,35358,73
-87.598155,85.792506,1.002499,0.038401,35361,73
-87.598145,85.792927,1.060739,0.038759,35362,73
-87.598134,85.793349,1.077551,0.051528,35363,73
-87.597794,85.785705,1.074336,0.121451,35363,74
-87.598124,85.793770,1.016733,0.057847,35364,73
-87.597784,85.786125,1.009397,0.120338,35364,74
-87.596271,85.781349,1.201537,0.114900,35409,77
-87.596259,85.781738,1.214891,0.117004,35410,77
-87.596248,85.782127,1.239912,0.120031,35411,77
-87.596236,85.782515,1.227071,0.111487,35412,77
-87.596224,85.782904,1.226737,0.116418,35413,77
